,x
220,399.801
221,401.769
222,403.737
223,405.704
224,407.67
225,409.635
226,411.6
227,413.564
228,415.527
229,417.489
230,419.451
231,421.412
232,423.373
233,425.333
234,427.292
235,429.25
236,431.208
237,433.165
238,435.121
239,437.076
240,439.031
241,440.985
242,442.939
243,444.891
244,446.844
245,448.795
246,450.746
247,452.695
248,454.645
249,456.593
250,458.541
251,460.488
252,462.435
253,464.381
254,466.326
255,468.27
256,470.214
257,472.157
258,474.099
259,476.041
260,477.982
261,479.922
262,481.861
263,483.8
264,485.739
265,487.676
266,489.613
267,491.549
268,493.484
269,495.419
270,497.353
271,499.286
272,501.219
273,503.151
274,505.082
275,507.013
276,508.943
277,510.872
278,512.8
279,514.728
280,516.655
281,518.582
282,520.508
283,522.433
284,524.357
285,526.281
286,528.204
287,530.126
288,532.048
289,533.969
290,535.889
291,537.809
292,539.728
293,541.646
294,543.564
295,545.481
296,547.397
297,549.312
298,551.227
299,553.141
300,555.055
301,556.968
302,558.88
303,560.791
304,562.702
305,564.612
306,566.522
307,568.43
308,570.339
309,572.246
310,574.153
311,576.059
312,577.964
313,579.869
314,581.773
315,583.676
316,585.579
317,587.481
318,589.382
319,591.283
320,593.183
321,595.082
322,596.981
323,598.879
324,600.776
325,602.672
326,604.568
327,606.464
328,608.358
329,610.252
330,612.145
331,614.038
332,615.93
333,617.821
334,619.712
335,621.602
336,623.491
337,625.38
338,627.267
339,629.155
340,631.041
341,632.927
342,634.812
343,636.697
344,638.581
345,640.464
346,642.347
347,644.229
348,646.11
349,647.99
350,649.87
351,651.75
352,653.628
353,655.506
354,657.383
355,659.26
356,661.136
357,663.011
358,664.886
359,666.76
360,668.633
361,670.506
362,672.378
363,674.249
364,676.12
365,677.99
366,679.859
367,681.728
368,683.596
369,685.463
370,687.33
371,689.196
372,691.061
373,692.926
374,694.79
375,696.653
376,698.516
377,700.378
378,702.24
379,704.1
380,705.961
381,707.82
382,709.679
383,711.537
384,713.395
385,715.251
386,717.108
387,718.963
388,720.818
389,722.672
390,724.526
391,726.379
392,728.231
393,730.083
394,731.934
395,733.784
396,735.634
397,737.483
398,739.331
399,741.179
400,743.026
401,744.873
402,746.718
403,748.563
404,750.408
405,752.252
406,754.095
407,755.938
408,757.779
409,759.621
410,761.461
411,763.301
412,765.141
413,766.979
414,768.817
415,770.655
416,772.492
417,774.328
418,776.163
419,777.998
420,779.832
421,781.666
422,783.498
423,785.331
424,787.162
425,788.993
426,790.824
427,792.653
428,794.482
429,796.311
430,798.138
431,799.966
432,801.792
433,803.618
434,805.443
435,807.268
436,809.092
437,810.915
438,812.737
439,814.559
440,816.381
441,818.202
442,820.022
443,821.841
444,823.66
445,825.478
446,827.296
447,829.113
448,830.929
449,832.745
450,834.56
451,836.374
452,838.188
453,840.001
454,841.813
455,843.625
456,845.436
457,847.247
458,849.057
459,850.866
460,852.675
461,854.483
462,856.29
463,858.097
464,859.903
465,861.709
466,863.514
467,865.318
468,867.121
469,868.924
470,870.727
471,872.529
472,874.33
473,876.13
474,877.93
475,879.729
476,881.528
477,883.326
478,885.123
479,886.92
480,888.716
481,890.512
482,892.306
483,894.101
484,895.894
485,897.687
486,899.48
487,901.271
488,903.062
489,904.853
490,906.643
491,908.432
492,910.221
493,912.009
494,913.796
495,915.583
496,917.369
497,919.154
498,920.939
499,922.723
500,924.507
501,926.29
502,928.072
503,929.854
504,931.635
505,933.416
506,935.196
507,936.975
508,938.754
509,940.532
510,942.309
511,944.086
512,945.862
513,947.638
514,949.413
515,951.187
516,952.961
517,954.734
518,956.507
519,958.279
520,960.05
521,961.821
522,963.591
523,965.36
524,967.129
525,968.897
526,970.665
527,972.432
528,974.198
529,975.964
530,977.729
531,979.494
532,981.258
533,983.021
534,984.784
535,986.546
536,988.307
537,990.068
538,991.828
539,993.588
540,995.347
541,997.105
542,998.863
543,1000.62
544,1002.38
545,1004.13
546,1005.89
547,1007.64
548,1009.4
549,1011.15
550,1012.9
551,1014.66
552,1016.41
553,1018.16
554,1019.91
555,1021.66
556,1023.41
557,1025.16
558,1026.91
559,1028.65
560,1030.4
561,1032.15
562,1033.89
563,1035.64
564,1037.38
565,1039.13
566,1040.87
567,1042.61
568,1044.35
569,1046.1
570,1047.84
571,1049.58
572,1051.32
573,1053.06
574,1054.79
575,1056.53
576,1058.27
577,1060.01
578,1061.74
579,1063.48
580,1065.21
581,1066.95
582,1068.68
583,1070.41
584,1072.15
585,1073.88
586,1075.61
587,1077.34
588,1079.07
589,1080.8
590,1082.53
591,1084.26
592,1085.98
593,1087.71
594,1089.44
595,1091.16
596,1092.89
597,1094.61
598,1096.34
599,1098.06
600,1099.78
601,1101.51
602,1103.23
603,1104.95
604,1106.67
605,1108.39
606,1110.11
607,1111.83
608,1113.55
609,1115.26
610,1116.98
611,1118.7
612,1120.41
613,1122.13
614,1123.84
615,1125.56
616,1127.27
617,1128.98
618,1130.7
619,1132.41
620,1134.12
621,1135.83
622,1137.54
623,1139.25
624,1140.96
625,1142.67
626,1144.37
627,1146.08
628,1147.79
629,1149.49
630,1151.2
631,1152.9
632,1154.61
633,1156.31
634,1158.01
635,1159.72
636,1161.42
637,1163.12
638,1164.82
639,1166.52
640,1168.22
641,1169.92
642,1171.62
643,1173.31
644,1175.01
645,1176.71
646,1178.4
647,1180.1
648,1181.79
649,1183.49
650,1185.18
651,1186.88
652,1188.57
653,1190.26
654,1191.95
655,1193.64
656,1195.33
657,1197.02
658,1198.71
659,1200.4
660,1202.09
661,1203.77
662,1205.46
663,1207.15
664,1208.83
665,1210.52
666,1212.2
667,1213.89
668,1215.57
669,1217.25
670,1218.93
671,1220.61
672,1222.3
673,1223.98
674,1225.66
675,1227.33
676,1229.01
677,1230.69
678,1232.37
679,1234.05
680,1235.72
681,1237.4
682,1239.07
683,1240.75
684,1242.42
685,1244.1
